Country,Region,Electricity_generated_kW,Education_expenditure_percent_GDP,Energy_consumption_per_capita_BtuPerPerson,Reserves_of_foreign_exchange_dollars,Electricity_generated_kW_rob,Education_expenditure_percent_GDP_rob,Energy_consumption_per_capita_BtuPerPerson_rob,Reserves_of_foreign_exchange_dollars_rob
BHUTAN,South Asia,2344000,7.0,64082000,928229000,0.143652542939792,4.061443657094685,0.9543899835402188,0.03326413656375734
COTE D'IVOIRE,Africa,2315000,3.4,8489000,6257000000,0.14187527171741401,1.9727012048745614,0.12642889688637865,0.2242266751840652
CYPRUS,Europe,2288000,6.1,107188000,921269000,0.14022057092416554,3.5392580440396544,1.5963789138246147,0.033014717088085115
LUXEMBOURG,Europe,2212000,5.0,224651000,2602000000,0.13556289461724397,2.901031183639061,3.345786089577318,0.09324561432458649
NICARAGUA,Central America and the Caribbean,1849000,4.6,10660000,6105000000,0.11331636173023693,2.668948688947936,0.15876216760617226,0.21877958318662585
TANZANIA,Africa,1818000,3.3,4091000,5050000000,0.11141652007872944,1.9146805812017802,0.06092833280270645,0.18097246438860945
CAMEROON,Africa,1798000,3.2,4271000,4882000000,0.11019081578743428,1.8566599575289993,0.06360911987297953,0.1749519942861765
SENEGAL,Africa,1772000,5.5,8303000,1827000000,0.10859740020875058,3.191134302002967,0.12365875024709647,0.06547261236395831
MONGOLIA,East and Southeast Asia,1510000,4.7,67132000,4891000000,0.09254067399278408,2.7269693126207173,0.9998144311198459,0.1752745194702354
UGANDA,Africa,1452000,2.7,2252000,3359000000,0.08898613154802813,1.566556839165093,0.03353962490141651,0.12037356591709686
JAMAICA,Central America and the Caribbean,1242000,6.0,42095000,4869000000,0.07611623648942903,3.481237420366873,0.6269318429063623,0.17448612457586918
MALI,Africa,1222000,4.4,4307000,647800000,0.07489053219813387,2.552907441602374,0.06414527728703415,0.02321464602592895
PAPUA NEW GUINEA,East and Southeast Asia,1148000,1.4,8781000,3901000000,0.07035542632034181,0.812288731418937,0.13077772924482164,0.13979674922375554
GUINEA,Africa,1060000,2.2,5235000,1887000000,0.06496232743864312,1.276453720801187,0.077966223960442,0.06762278025768435
MAURITIUS,Africa,955000,4.9,60188000,7465000000,0.05852737990934358,2.84301055996628,0.8963956232533111,0.26751672211108307
BRUNEI,East and Southeast Asia,904000,4.4,403365000,4032000000,0.055401833966540935,2.552907441602374,6.007420425559444,0.14449128245839074
"CONGO, REPUBLIC OF THE",Africa,842000,4.5,7351000,715391000,0.051602150663525956,2.610928065275155,0.10948036529765219,0.02563684599434291
MALTA,Europe,829000,5.9,234698000,1402000000,0.050805442874184106,3.423216796694092,3.49541868788306,0.050242256450065435
MAURITANIA,Africa,812000,1.9,14135000,2039000000,0.049763594226583226,1.102391849782843,0.2105162513239442,0.0730698722551237
GABON,Africa,785000,3.2,22101000,1447000000,0.04810889343333477,1.8566599575289993,0.3291559724450294,0.05185488237035997
MOLDOVA,Europe,779000,6.4,35686000,5477000000,0.04774118214594623,3.7133199150579985,0.5314809299431392,0.1962744925656265
MADAGASCAR,Africa,759000,3.1,1816000,2785000000,0.04651547785465107,1.7986393338562179,0.02704616288675505,0.09980362640045094
BOTSWANA,Africa,758000,8.7,32443000,4756000000,0.046454192640086316,5.047794259531965,0.4831820828937192,0.17043664170935177
BURKINA FASO,Africa,749000,5.5,3481000,49000000,0.0459026257090035,3.191134302002967,0.05184344328678102,0.001755970446542943
MALAWI,Africa,731000,2.9,1792000,594498000,0.044799491846837854,1.6825980865106553,0.02668872461071864,0.021304508541405847
NAMIBIA,Africa,646000,9.6,21734000,3356000000,0.03959024860883346,5.569979872586997,0.3236901454739726,0.12026605752241055
AFGHANISTAN,South Asia,627000,2.9,3380000,9749000000,0.03842582953210306,1.6825980865106553,0.05033922387512779,0.34936644659892147
"BAHAMAS, THE",Central America and the Caribbean,608000,2.8,104409000,2512000000,0.037261410455372665,1.624577462837874,1.5549905401118989,0.0900203624839974
SURINAME,South America,537000,5.0,60896000,1530000000,0.03291016022127487,2.901031183639061,0.9069400523963852,0.054829281290014346
BENIN,Africa,505000,3.0,6472000,698900000,0.03094903335520262,1.7406187101834365,0.09638918843781866,0.025045872348752305
HAITI,Central America and the Caribbean,472000,1.4,3486000,2566000000,0.02892662127456562,0.812288731418937,0.0519179095942886,0.09195551358835086
MALDIVES,South Asia,432000,5.8,50886000,673203000,0.026475212691975312,3.3651961730213107,0.7578585047661991,0.024124991276000998
FIJI,Australia and Oceania,427000,5.7,25375000,1597000000,0.026168786619151525,3.3071755493485298,0.3779165106009964,0.057230302104675106
MACAU,East and Southeast Asia,427000,6.3,64641000,29392000000,0.026168786619151525,3.6552992913852167,0.9627153167195668,1.053295578873269
NIGER,Africa,377000,3.8,1772000,1314000000,0.023104525890913642,2.204783699565686,0.0263908593806883,0.04708867687260056
WEST BANK,Middle East,352000,5.3,14991000,1328000000,0.0215723955267947,3.0750930546574047,0.22326488316924284,0.04759038271446997
GAZA STRIP,Middle East,352000,5.3,14991000,1328000000,0.0215723955267947,3.0750930546574047,0.22326488316924284,0.04759038271446997
TOGO,Africa,326000,4.0,4538000,77800000,0.019978979948111,2.320824946911249,0.06758562069388459,0.002788051035531448
BARBADOS,Central America and the Caribbean,320000,6.5,68293000,1606000000,0.019611268660722454,3.7713405387307795,1.0171055077231073,0.05755282728873401
ARUBA,Central America and the Caribbean,305000,5.5,153952000,1468000000,0.01869199044225109,3.191134302002967,2.2928473946815604,0.05260744113316409
RWANDA,Africa,294000,3.8,1808000,2406000000,0.018017853082038755,2.204783699565686,0.026927016794742915,0.08622173253841471
ESWATINI,Africa,285000,5.0,18823000,479261000,0.017466286150955936,2.901031183639061,0.2803358612430564,0.01717486024858403
TIMOR-LESTE,East and Southeast Asia,277000,4.2,6825000,781995000,0.016976004434437874,2.4368661942568113,0.1016465097478542,0.02802367570090508
GUYANA,South America,259000,4.5,46045000,1010000000,0.015872870572272237,2.610928065275155,0.6857602258373549,0.03619449287772189
BELIZE,Central America and the Caribbean,220000,8.7,30752000,498087000,0.013482747204246687,5.047794259531965,0.4579975776946538,0.01784951126137214
DJIBOUTI,Africa,210000,3.6,10428000,348725000,0.012869895058599111,2.088742452220124,0.1553069309378203,0.012496954978993629
CABO VERDE,Africa,200000,7.6,19999000,783106000,0.012257042912951533,4.409567399131372,0.29785033676884043,0.02806348964307057
LIBERIA,Africa,199000,2.7,1822000,599660000,0.012195757698386775,1.566556839165093,0.027135522455764154,0.021489494652529414
CAYMAN ISLANDS,Central America and the Caribbean,176000,2.1,143149000,234000000,0.01078619776339735,1.2184330971284056,2.1319554906806713,0.008385654785531606
CHAD,Africa,167000,2.9,1502000,1050000000,0.010234630832314531,1.6825980865106553,0.022369678775278682,0.03762793814020592
"GAMBIA, THE",Africa,162000,2.8,2731000,577028000,0.009928204759490742,1.624577462837874,0.040673497160643196,0.020678451323015944
SOMALIA,Africa,156000,0.3,649000,30450000,0.009560493472102196,0.17406187101834367,0.009665726714484598,0.0010912102060659718
SEYCHELLES,Africa,156000,5.2,98847000,773678000,0.009560493472102196,3.0170724309846237,1.4721542196404607,0.027725626594703085
SIERRA LEONE,Africa,149000,9.1,2301000,495699000,0.009131496970148893,5.279876754223091,0.034269394714990846,0.017763934579201845
ANTIGUA AND BARBUDA,Central America and the Caribbean,148000,3.8,110114000,358441000,0.009070211755584135,2.204783699565686,1.6399565969780538,0.012845138833251002
SOUTH SUDAN,Africa,136000,1.5,2092000,72881000,0.008334789180807043,0.8703093550917183,0.031156703061173772,0.002611773104377474
BURUNDI,Africa,131000,5.0,946000,90350000,0.008028363107983254,2.901031183639061,0.014089025380435174,0.0032377944866358145
LESOTHO,Africa,104000,8.7,8117000,854089000,0.006373662314734798,5.047794259531965,0.1208886036078143,0.030607245769743177
SAINT LUCIA,Central America and the Caribbean,93000,3.6,47522000,406064000,0.005699524954522463,2.088742452220124,0.7077575730750956,0.014551762926632931
SAINT KITTS AND NEVIS,Central America and the Caribbean,72000,2.5,81454000,294748000,0.004412535448662552,1.4505155918195305,1.2131157223445737,0.01056262810566611
CENTRAL AFRICAN REPUBLIC,Africa,63000,2.2,954000,479593000,0.003860968517579733,1.276453720801187,0.014208171472447313,0.017186757844262646
GRENADA,Central America and the Caribbean,60000,3.6,41703000,423263000,0.0036771128738854603,2.088742452220124,0.6210936843977676,0.015168108553369504
SAINT VINCENT AND THE GRENADINES,Central America and the Caribbean,55000,5.7,37253000,316824000,0.0033706868010616718,3.3071755493485298,0.5548186707160164,0.011353746546031048
SAMOA,Australia and Oceania,54000,4.8,23476000,507740000,0.003309401586496914,2.7849899362934987,0.3496342070096154,0.0181954374393411
DOMINICA,Central America and the Caribbean,41000,5.5,36395000,155971000,0.0025126937971550645,3.191134302002967,0.5420402523477148,0.005589397275872436
VANUATU,Australia and Oceania,39000,2.2,12934000,643768000,0.002390123368025549,1.276453720801187,0.19262944426062215,0.02307015474347056
SOLOMON ISLANDS,Australia and Oceania,37000,12.8,5655000,688220000,0.0022675529388960338,7.426639830115997,0.0842213937910792,0.024663142463669067
TONGA,Australia and Oceania,34000,6.6,23272000,396530000,0.002083697295201761,3.8293611624035604,0.3465959816633059,0.014210101248319862
COMOROS,Africa,32000,2.6,7139000,322436000,0.0019611268660722453,1.5085362154923119,0.10632299385933057,0.011554858916357559
SAO TOME AND PRINCIPE,Africa,29000,5.0,8875000,46247000,0.0017772712223779723,2.901031183639061,0.13217769582596425,0.0016573135763524793
GUINEA-BISSAU,Africa,29000,2.7,2351000,356400000,0.0017772712223779723,1.566556839165093,0.0350140577900667,0.012771997288732753
